PG.ProteinGroups,PG.Genes,PG.ProteinNames,[1] CRBNKO_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[2] CRBNKO_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[3] CRBNKO_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[4] CRBNKO_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[5] CRBNKO_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[6] CRBNKO_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[7] MAP3K1KO_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[8] MAP3K1KO_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[9] MAP3K1KO_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[10] MAPK1KO_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[11] MAPK1KO_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[12] MAPK1KO_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[13] WT_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[14] WT_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[15] WT_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[16] WT_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[17] WT_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[18] WT_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[1] CRBNKO_50-008_1.raw.PG.Quantity,[2] CRBNKO_50-008_2.raw.PG.Quantity,[3] CRBNKO_50-008_3.raw.PG.Quantity,[4] CRBNKO_DMSO_1.raw.PG.Quantity,[5] CRBNKO_DMSO_2.raw.PG.Quantity,[6] CRBNKO_DMSO_3.raw.PG.Quantity,[7] MAP3K1KO_50-008_1.raw.PG.Quantity,[8] MAP3K1KO_50-008_2.raw.PG.Quantity,[9] MAP3K1KO_50-008_3.raw.PG.Quantity,[10] MAPK1KO_DMSO_1.raw.PG.Quantity,[11] MAPK1KO_DMSO_2.raw.PG.Quantity,[12] MAPK1KO_DMSO_3.raw.PG.Quantity,[13] WT_50-008_1.raw.PG.Quantity,[14] WT_50-008_2.raw.PG.Quantity,[15] WT_50-008_3.raw.PG.Quantity,[16] WT_DMSO_1.raw.PG.Quantity,[17] WT_DMSO_2.raw.PG.Quantity,[18] WT_DMSO_3.raw.PG.Quantity
A0A0B4J2D5;P0DPI2,GATD3B;GATD3,GAL3B_HUMAN;GAL3A_HUMAN,13,12,13,12,14,14,14,13,14,13,12,13,14,14,13,13,14,14,13899.541015625,24709.287109375,27437.490234375,11768.185546875,30693.9375,20903.9609375,38299.37890625,42042.1875,44238.7421875,26784.677734375,38762.0859375,36872.125,38982.6875,29141.21875,40181.09765625,19262.734375,20904.78125,17051.322265625
A0A0U1RRE5,NBDY,NBDY_HUMAN,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2531.72607421875,2461.628173828125,3534.69189453125,2543.905029296875,3115.42236328125,2309.90283203125,1403.310302734375,1857.2410888671875,2386.869873046875,3093.496826171875,2678.250244140625,2664.885009765625,1861.9564208984375,1477.454833984375,2277.226806640625,3582.785400390625,2332.37060546875,2688.230224609375
A0A0U1RRL7,MMP24OS,MMPOS_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,635.940185546875,970.5606689453125,985.9971923828125,538.0230102539062,1365.1002197265625,822.6578369140625,1813.306396484375,2032.186767578125,2308.620849609375,1460.387451171875,1403.84375,1388.1903076171875,1673.98876953125,1481.4635009765625,1408.2691650390625,994.7047729492188,755.9609375,828.576416015625
A0A1B0GTU1,ZC3H11B,ZC11B_HUMAN,0,0,0,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,20.691417694091797,18.567136764526367,35.16686248779297,16.009584426879883,48.5169792175293,25.495389938354492,74.95667266845703,32.60081481933594,72.79084014892578,45.10578155517578,69.2747573852539,37.31212615966797,4.131215572357178,26.743249893188477,12.015374183654785,43.13129425048828,17.762588500976562,3.359281539916992
A0A1W2PQ72,MSANTD7,MSD7_HUMAN,3,3,3,2,4,2,4,4,4,4,3,3,4,3,3,3,2,3,149.47190856933594,96.29206848144531,182.3592529296875,126.41410827636719,177.8501739501953,66.03031158447266,226.13531494140625,266.1404724121094,263.6324462890625,354.39404296875,233.4545135498047,104.6126708984375,208.51837158203125,192.43563842773438,162.4468994140625,205.49053955078125,161.83767700195312,186.89785766601562
A0AV96,RBM47,RBM47_HUMAN,16,13,14,14,15,14,12,13,14,13,15,12,13,14,15,14,15,13,1161.1915283203125,1121.0870361328125,1418.943603515625,1148.873779296875,1333.158935546875,828.3174438476562,807.93115234375,945.795654296875,895.5950317382812,1044.27197265625,876.9845581054688,739.4030151367188,1152.754638671875,762.073486328125,1088.4654541015625,1293.658935546875,1014.5631103515625,719.2700805664062
A0AVF1,IFT56,IFT56_HUMAN,3,4,5,3,2,3,2,3,3,1,4,3,3,5,3,5,5,5,251.26132202148438,291.65997314453125,330.1571350097656,176.73277282714844,355.3186950683594,217.54855346679688,121.86700439453125,178.6270294189453,139.8690643310547,198.99952697753906,250.37738037109375,150.04579162597656,211.1747589111328,267.9189147949219,259.6562194824219,271.00445556640625,339.5984802246094,239.41049194335938
A0AVT1,UBA6,UBA6_HUMAN,52,51,51,51,53,49,47,50,50,52,49,51,52,50,51,53,51,51,4883.6904296875,5143.4775390625,6220.19189453125,4656.64892578125,6291.54833984375,3944.655517578125,3360.685546875,3576.505615234375,4274.126953125,4953.27490234375,4299.75732421875,4521.59375,5009.337890625,3920.542724609375,5185.2099609375,8204.3251953125,6318.12451171875,5292.4228515625
A0FGR8,ESYT2,ESYT2_HUMAN,28,31,31,28,29,28,31,28,31,29,30,29,29,29,30,29,30,29,7547.689453125,8956.26171875,9349.0185546875,7372.11083984375,11435.5751953125,7784.60791015625,12079.81640625,12869.1328125,13749.078125,11019.3818359375,11048.6767578125,10315.9384765625,11757.9794921875,8842.1484375,11523.2470703125,11607.71484375,9090.439453125,8096.16845703125
A0JLT2,MED19,MED19_HUMAN,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,3444.986572265625,3069.46044921875,3832.537841796875,3081.0986328125,4454.43603515625,2819.311279296875,3038.6923828125,2747.61572265625,3240.770263671875,3782.137939453125,3614.0693359375,3248.79150390625,3443.00439453125,2319.680419921875,3615.7470703125,4093.450439453125,2911.33056640625,2691.7685546875
A0JNW5,BLTP3B,BLT3B_HUMAN,20,19,22,18,23,21,13,21,14,24,23,21,16,15,16,27,24,26,413.8823547363281,493.38397216796875,477.95361328125,409.62762451171875,593.1044921875,363.2284240722656,240.60531616210938,324.88800048828125,305.7058410644531,598.382080078125,511.4938049316406,480.0469665527344,360.4139709472656,310.19573974609375,376.9882507324219,805.899169921875,643.4573364257812,595.9942626953125
